Class1;Class1.1;Class1.2;Class1.3;Class1
topGenes;topGenes;Weights;Weights;Weights
PROGRAMADA_92;PROGRAMADA_92;0.0;0.0;0.0
PROGRAMADA_93;PROGRAMADA_93;0.0;0.0;0.0
PROGRAMADA_94;PROGRAMADA_94;0.0;0.0;0.0
PROGRAMADA_95;PROGRAMADA_95;0.0;0.0;0.0
PROGRAMADA_96;PROGRAMADA_96;0.0;0.0;0.0
PROGRAMADA_97;PROGRAMADA_97;0.0;0.0;0.0
PROGRAMADA_98;PROGRAMADA_98;0.0;0.0;0.0
PROGRAMADA_99;PROGRAMADA_99;0.0;0.0;0.0
EXTRA_0;EXTRA_0;0.0;0.0;0.0
EXTRA_1;EXTRA_1;0.0;0.0;0.0
EXTRA_2;EXTRA_2;0.0;0.0;0.0
EXTRA_3;EXTRA_3;0.0;0.0;0.0
EXTRA_4;EXTRA_4;0.0;0.0;0.0
EXTRA_5;EXTRA_5;0.0;0.0;0.0
EXTRA_6;EXTRA_6;0.0;0.0;0.0
EXTRA_7;EXTRA_7;0.0;0.0;0.0
EXTRA_8;EXTRA_8;0.0;0.0;0.0
EXTRA_9;EXTRA_9;0.0;0.0;0.0
EXTRA_10;EXTRA_10;0.0;0.0;0.0
EXTRA_11;EXTRA_11;0.0;0.0;0.0
EXTRA_12;EXTRA_12;0.0;0.0;0.0
EXTRA_13;EXTRA_13;0.0;0.0;0.0
EXTRA_14;EXTRA_14;0.0;0.0;0.0
EXTRA_15;EXTRA_15;0.0;0.0;0.0
EXTRA_16;EXTRA_16;0.0;0.0;0.0
EXTRA_17;EXTRA_17;0.0;0.0;0.0
EXTRA_18;EXTRA_18;0.0;0.0;0.0
EXTRA_19;EXTRA_19;0.0;0.0;0.0
EXTRA_20;EXTRA_20;0.0;0.0;0.0
EXTRA_21;EXTRA_21;0.0;0.0;0.0
EXTRA_22;EXTRA_22;0.0;0.0;0.0
EXTRA_23;EXTRA_23;0.0;0.0;0.0
EXTRA_24;EXTRA_24;0.0;0.0;0.0
EXTRA_25;EXTRA_25;0.0;0.0;0.0
EXTRA_26;EXTRA_26;0.0;0.0;0.0
EXTRA_27;EXTRA_27;0.0;0.0;0.0
EXTRA_28;EXTRA_28;0.0;0.0;0.0
EXTRA_29;EXTRA_29;0.0;0.0;0.0
EXTRA_30;EXTRA_30;0.0;0.0;0.0
EXTRA_31;EXTRA_31;0.0;0.0;0.0
EXTRA_32;EXTRA_32;0.0;0.0;0.0
EXTRA_33;EXTRA_33;0.0;0.0;0.0
EXTRA_34;EXTRA_34;0.0;0.0;0.0
EXTRA_35;EXTRA_35;0.0;0.0;0.0
EXTRA_36;EXTRA_36;0.0;0.0;0.0
EXTRA_37;EXTRA_37;0.0;0.0;0.0
EXTRA_38;EXTRA_38;0.0;0.0;0.0
EXTRA_39;EXTRA_39;0.0;0.0;0.0
EXTRA_40;EXTRA_40;0.0;0.0;0.0
EXTRA_41;EXTRA_41;0.0;0.0;0.0
EXTRA_42;EXTRA_42;0.0;0.0;0.0
EXTRA_43;EXTRA_43;0.0;0.0;0.0
EXTRA_44;EXTRA_44;0.0;0.0;0.0
EXTRA_45;EXTRA_45;0.0;0.0;0.0
EXTRA_46;EXTRA_46;0.0;0.0;0.0
EXTRA_47;EXTRA_47;0.0;0.0;0.0
EXTRA_48;EXTRA_48;0.0;0.0;0.0
EXTRA_49;EXTRA_49;0.0;0.0;0.0
EXTRA_50;EXTRA_50;0.0;0.0;0.0
EXTRA_51;EXTRA_51;0.0;0.0;0.0
EXTRA_52;EXTRA_52;0.0;0.0;0.0
EXTRA_53;EXTRA_53;0.0;0.0;0.0
EXTRA_54;EXTRA_54;0.0;0.0;0.0
EXTRA_55;EXTRA_55;0.0;0.0;0.0
EXTRA_56;EXTRA_56;0.0;0.0;0.0
EXTRA_57;EXTRA_57;0.0;0.0;0.0
EXTRA_58;EXTRA_58;0.0;0.0;0.0
EXTRA_59;EXTRA_59;0.0;0.0;0.0
EXTRA_60;EXTRA_60;0.0;0.0;0.0
EXTRA_61;EXTRA_61;0.0;0.0;0.0
EXTRA_62;EXTRA_62;0.0;0.0;0.0
EXTRA_63;EXTRA_63;0.0;0.0;0.0
EXTRA_64;EXTRA_64;0.0;0.0;0.0
EXTRA_65;EXTRA_65;0.0;0.0;0.0
EXTRA_66;EXTRA_66;0.0;0.0;0.0
EXTRA_67;EXTRA_67;0.0;0.0;0.0
EXTRA_68;EXTRA_68;0.0;0.0;0.0
EXTRA_69;EXTRA_69;0.0;0.0;0.0
EXTRA_70;EXTRA_70;0.0;0.0;0.0
EXTRA_71;EXTRA_71;0.0;0.0;0.0
EXTRA_72;EXTRA_72;0.0;0.0;0.0
EXTRA_73;EXTRA_73;0.0;0.0;0.0
EXTRA_74;EXTRA_74;0.0;0.0;0.0
EXTRA_75;EXTRA_75;0.0;0.0;0.0
EXTRA_76;EXTRA_76;0.0;0.0;0.0
EXTRA_77;EXTRA_77;0.0;0.0;0.0
EXTRA_78;EXTRA_78;0.0;0.0;0.0
EXTRA_79;EXTRA_79;0.0;0.0;0.0
EXTRA_80;EXTRA_80;0.0;0.0;0.0
EXTRA_81;EXTRA_81;0.0;0.0;0.0
EXTRA_82;EXTRA_82;0.0;0.0;0.0
EXTRA_83;EXTRA_83;0.0;0.0;0.0
EXTRA_84;EXTRA_84;0.0;0.0;0.0
EXTRA_85;EXTRA_85;0.0;0.0;0.0
EXTRA_86;EXTRA_86;0.0;0.0;0.0
EXTRA_87;EXTRA_87;0.0;0.0;0.0
EXTRA_88;EXTRA_88;0.0;0.0;0.0
EXTRA_89;EXTRA_89;0.0;0.0;0.0
EXTRA_90;EXTRA_90;0.0;0.0;0.0
EXTRA_91;EXTRA_91;0.0;0.0;0.0
EXTRA_92;EXTRA_92;0.0;0.0;0.0
EXTRA_93;EXTRA_93;0.0;0.0;0.0
EXTRA_94;EXTRA_94;0.0;0.0;0.0
EXTRA_95;EXTRA_95;0.0;0.0;0.0
EXTRA_96;EXTRA_96;0.0;0.0;0.0
EXTRA_97;EXTRA_97;0.0;0.0;0.0
EXTRA_98;EXTRA_98;0.0;0.0;0.0
EXTRA_99;EXTRA_99;0.0;0.0;0.0
METGE_0;METGE_0;0.0;0.0;0.0
METGE_1;METGE_1;0.0;0.0;0.0
METGE_2;METGE_2;0.0;0.0;0.0
METGE_3;METGE_3;0.0;0.0;0.0
METGE_4;METGE_4;0.0;0.0;0.0
METGE_5;METGE_5;0.0;0.0;0.0
METGE_6;METGE_6;0.0;0.0;0.0
METGE_7;METGE_7;0.0;0.0;0.0
METGE_8;METGE_8;0.0;0.0;0.0
METGE_9;METGE_9;0.0;0.0;0.0
METGE_10;METGE_10;0.0;0.0;0.0
METGE_11;METGE_11;0.0;0.0;0.0
METGE_12;METGE_12;0.0;0.0;0.0
